seed,repetition,opponent,target_avg
0,0,Cu,3.02
0,0,Du,0.995
0,0,Tit For Tat,3.0
0,0,spiteful,3.0
0,0,soft_majo,3.02
0,0,hard_majo,1.015
0,0,per_cd,2.73
0,0,per_ccd,2.79
0,0,per_ddc,2.315
0,0,mistrust,1.015
0,0,WSLS,3.0
0,0,TFTT,3.02
0,0,hard_tft,3.0
0,0,slow_tft,3.02
0,0,GrdTFT,3.0
0,0,prober,1.065
0,0,mem2,3.0
0,0,grok:grok-3-mini,3.0
0,0,Tideman & Chieruzzi,2.98
0,0,Nydegger,3.02
0,0,Grofman,3.0
0,0,Shubik,3.0
0,0,Stein & Rapoport: 0.05,2.98
0,0,GRIM,3.0
0,0,Davis: 10,3.0
0,0,Graaskamp: 0.05,2.825
0,0,Downing,3.01
0,0,"Feld: 1.0, 0.5, 200",1.13
0,0,Joss: 0.9,1.04
0,0,Tullock,2.31
0,0,Anonymous,2.305
0,0,Random: 0.5,2.345
0,1,Cu,3.02
0,1,Du,0.995
0,1,Tit For Tat,3.0
0,1,spiteful,3.0
0,1,soft_majo,3.02
0,1,hard_majo,1.015
0,1,per_cd,2.73
0,1,per_ccd,2.79
0,1,per_ddc,2.315
0,1,mistrust,1.015
0,1,WSLS,3.0
0,1,TFTT,3.02
0,1,hard_tft,3.0
0,1,slow_tft,3.02
0,1,GrdTFT,3.0
0,1,prober,1.065
0,1,mem2,3.0
0,1,grok:grok-3-mini,3.0
0,1,Tideman & Chieruzzi,2.98
0,1,Nydegger,3.02
0,1,Grofman,3.0
0,1,Shubik,3.0
0,1,Stein & Rapoport: 0.05,2.98
0,1,GRIM,3.0
0,1,Davis: 10,3.0
0,1,Graaskamp: 0.05,2.775
0,1,Downing,3.01
0,1,"Feld: 1.0, 0.5, 200",1.955
0,1,Joss: 0.9,1.04
0,1,Tullock,2.775
0,1,Anonymous,2.33
0,1,Random: 0.5,2.52
0,2,Cu,3.02
0,2,Du,0.995
0,2,Tit For Tat,3.0
0,2,spiteful,3.0
0,2,soft_majo,3.02
0,2,hard_majo,1.015
0,2,per_cd,2.73
0,2,per_ccd,2.79
0,2,per_ddc,2.315
0,2,mistrust,1.015
0,2,WSLS,3.0
0,2,TFTT,3.02
0,2,hard_tft,3.0
0,2,slow_tft,3.02
0,2,GrdTFT,3.0
0,2,prober,1.065
0,2,mem2,3.0
0,2,grok:grok-3-mini,3.0
0,2,Tideman & Chieruzzi,2.98
0,2,Nydegger,3.02
0,2,Grofman,3.0
0,2,Shubik,3.0
0,2,Stein & Rapoport: 0.05,2.98
0,2,GRIM,3.0
0,2,Davis: 10,3.0
0,2,Graaskamp: 0.05,2.81
0,2,Downing,3.01
0,2,"Feld: 1.0, 0.5, 200",1.295
0,2,Joss: 0.9,2.82
0,2,Tullock,2.725
0,2,Anonymous,2.235
0,2,Random: 0.5,2.295
0,3,Cu,3.02
0,3,Du,0.995
0,3,Tit For Tat,3.0
0,3,spiteful,3.0
0,3,soft_majo,3.02
0,3,hard_majo,1.015
0,3,per_cd,2.73
0,3,per_ccd,2.79
0,3,per_ddc,2.315
0,3,mistrust,1.015
0,3,WSLS,3.0
0,3,TFTT,3.02
0,3,hard_tft,3.0
0,3,slow_tft,3.02
0,3,GrdTFT,3.0
0,3,prober,1.065
0,3,mem2,3.0
0,3,grok:grok-3-mini,3.0
0,3,Tideman & Chieruzzi,2.98
0,3,Nydegger,3.02
0,3,Grofman,3.0
0,3,Shubik,3.0
0,3,Stein & Rapoport: 0.05,2.98
0,3,GRIM,3.0
0,3,Davis: 10,3.0
0,3,Graaskamp: 0.05,2.825
0,3,Downing,3.01
0,3,"Feld: 1.0, 0.5, 200",1.46
0,3,Joss: 0.9,1.535
0,3,Tullock,2.655
0,3,Anonymous,2.475
0,3,Random: 0.5,2.38
0,4,Cu,3.02
0,4,Du,0.995
0,4,Tit For Tat,3.0
0,4,spiteful,3.0
0,4,soft_majo,3.02
0,4,hard_majo,1.015
0,4,per_cd,2.73
0,4,per_ccd,2.79
0,4,per_ddc,2.315
0,4,mistrust,1.015
0,4,WSLS,3.0
0,4,TFTT,3.02
0,4,hard_tft,3.0
0,4,slow_tft,3.02
0,4,GrdTFT,3.0
0,4,prober,1.065
0,4,mem2,3.0
0,4,grok:grok-3-mini,3.0
0,4,Tideman & Chieruzzi,2.98
0,4,Nydegger,3.02
0,4,Grofman,3.0
0,4,Shubik,3.0
0,4,Stein & Rapoport: 0.05,2.98
0,4,GRIM,3.0
0,4,Davis: 10,3.0
0,4,Graaskamp: 0.05,2.795
0,4,Downing,3.01
0,4,"Feld: 1.0, 0.5, 200",1.68
0,4,Joss: 0.9,2.12
0,4,Tullock,2.755
0,4,Anonymous,2.405
0,4,Random: 0.5,2.4
1,0,Cu,3.02
1,0,Du,0.995
1,0,Tit For Tat,3.0
1,0,spiteful,3.0
1,0,soft_majo,3.02
1,0,hard_majo,1.015
1,0,per_cd,2.73
1,0,per_ccd,2.79
1,0,per_ddc,2.315
1,0,mistrust,1.015
1,0,WSLS,3.0
1,0,TFTT,3.02
1,0,hard_tft,3.0
1,0,slow_tft,3.02
1,0,GrdTFT,3.0
1,0,prober,1.065
1,0,mem2,3.0
1,0,grok:grok-3-mini,3.0
1,0,Tideman & Chieruzzi,2.98
1,0,Nydegger,3.02
1,0,Grofman,3.0
1,0,Shubik,3.0
1,0,Stein & Rapoport: 0.05,2.98
1,0,GRIM,3.0
1,0,Davis: 10,3.0
1,0,Graaskamp: 0.05,2.78
1,0,Downing,3.01
