i,objective,rank,avg,gap,head_mean,head_min,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold
35,2.7061195075757567,1,2.766575757575757,0.03281818181818075,0.28953124999999996,-1.1900000000000002,0.7801858190458406,1.7246168884275865,1.1748924427810632,0.180797688553838,0.23121147203057318,0.43450873559305314,0.6421682740796023,0.7153906063676683,0.7256875269797665,0.2780477796316089,0.2292249113644653,2,7,2.869754918446463,0.4074974593899354,0.6786242772782297,0.22733389210748994,0.7553058609946508,0.1852464225867761,0.4581325082885922,0.34705742952711666,0.6565438346000667,0.7399935378068567,0.35745060342631607,0.30116350116227164,0.05531310668827597
20,2.705609659090908,1,2.767090909090908,0.042545454545452444,0.29765625,-1.2149999999999999,0.7074870637855548,1.7931006038694306,1.0977725498902493,0.22897807133105824,0.239558635123658,0.5632906295681211,0.7521481877929482,0.6557618637000648,0.7939827407935126,0.2619578388126862,0.2429884410981026,2,9,2.8244119880171104,0.5806387534711228,0.6645464817031992,0.28943240933222003,0.7784653884256972,0.2048923630315619,0.5045564417047828,0.34431410517388683,0.6139101799624668,0.838599252162114,0.30381184116825427,0.27589746788518293,-0.03220201149100522
64,2.705200757575757,1,2.762575757575757,0.03712121212121078,0.281875,-1.14,0.7715190651109342,1.7702338544323741,1.1995507343749203,0.1709678473260205,0.1597783585383307,0.504413144804529,0.6997575816822524,0.7262059055914432,0.767066122991066,0.37872336669031065,0.20070021015396577,2,8,2.7047545203322225,0.4423276347135765,0.5886391654116355,0.2823240461804032,0.6769526591775371,0.1324632570011487,0.511025640042287,0.2690904273564201,0.6736843753409679,0.782279761349305,0.3114067157860151,0.3201468084531044,-0.060858822751170376
75,2.700400757575757,1,2.755575757575757,0.029696969696968445,0.296875,-1.135,0.6278863857371914,1.824587853849772,1.191298542843475,0.19517534629446426,0.2887465636243139,0.496221265726937,0.659280326378304,0.6657717085407229,0.6692821346056601,0.3093852883264565,0.2398883511792928,2,8,2.8129660923157713,0.4132316921687376,0.7279020929107566,0.32562594448023496,0.69649193788577,0.2576661789583535,0.4154375331608714,0.41724013862516973,0.7011065584406222,0.8417188618240175,0.2807082811461847,0.3249154996343426,-0.08582380975287754
56,2.6997676136363618,1,2.7526363636363618,0.02421212121211891,0.2860937499999999,-1.09,0.7361540948155146,1.8391173049581313,1.1399458587131774,0.11906182967857186,0.1732163584509441,0.48218019905966647,0.6898756274097136,0.7724724561011395,0.694832088567472,0.39099126902049886,0.20532775243581647,2,6,2.6757852143598453,0.5765550823297172,0.7058967038347639,0.23657167475346053,0.7172507093809699,0.24340571741205608,0.49548668791843364,0.4263236239241718,0.5651735906754993,0.7974838370399037,0.32765115838887265,0.2283440471200025,0.06226063364967883
69,2.699339393939391,1,2.759939393939391,0.031242424242420075,0.265,-1.155,0.7495805235733546,1.7952858711988124,1.1221415692402856,0.10572715479448258,0.21712239892263607,0.47467460836262765,0.6239896007684456,0.7115077224292758,0.7376551004312049,0.3446613703230692,0.1979937474468104,1,8,2.769740167633897,0.4775416674417772,0.6465303051271406,0.3757820535843017,0.6912082893780803,0.1649527750474883,0.531338483541852,0.309373843342105,0.5625915031659712,0.817356522662245,0.2470343864766537,0.2113129628782477,0.027351246946855708
59,2.6990395833333305,1,2.7543333333333306,0.025939393939391042,0.26921874999999995,-1.095,0.7314110604205305,1.693078489369484,1.1027729526110714,0.12624616585328519,0.16635551536530277,0.46195678615415353,0.6922284058596346,0.7330916816380937,0.7970581092811244,0.37385318311575155,0.2896339641970176,1,8,2.823944086645995,0.46176304297631177,0.621642738866343,0.21725451586364264,0.6810772056204556,0.1195196094106511,0.4547788619022774,0.3198067448999455,0.6974971958101929,0.8109263917479743,0.2509061460698857,0.3095236825848936,0.0789596360579633
55,2.6985948863636353,1,2.759363636363635,0.025636363636361903,0.27359375,-1.17,0.7725554714316832,1.7591573379610208,1.0962315872848796,0.11269373660016635,0.18259726969839168,0.5070766900163801,0.6270121096872197,0.7488917723054078,0.7150029193254163,0.2725173723377378,0.2772329403765291,2,8,2.660821393797846,0.3807661172133787,0.7165301094576069,0.32138832921939003,0.682375717123859,0.17497229066497805,0.4840308057743384,0.3500329179740063,0.6975667126585114,0.7189205298259781,0.2635508588331015,0.19782288320965508,-0.08930154967711282
21,2.6976547348484825,1,2.7628484848484827,0.023727272727270154,0.2867187499999999,-1.2449999999999999,0.7120308216328548,1.7702018711291572,1.1462251599553295,0.21961943851226567,0.20837694046054112,0.4551332205902065,0.6638840425410122,0.7348504194002495,0.735736755139144,0.3211702765187731,0.2175529982444025,2,6,2.87673394309087,0.5025211833253576,0.6054916104691241,0.2781761294642701,0.6953533360568049,0.21332587776281278,0.3880373591732242,0.4174468495561017,0.7037460326205285,0.8302716148220649,0.370084193212433,0.29954802681591075,0.0189932842632198
4,2.6968032196969656,1,2.762696969696966,0.02257575757575392,0.27421874999999996,-1.235,0.7157241144547827,1.7464254535765253,1.0561917610730265,0.19561742768870125,0.18041437466321003,0.5821728776815388,0.6141804405433153,0.7802574411399984,0.6802414686385507,0.36857973406000544,0.26919124074551637,1,9,2.7352080603941733,0.42766930219079113,0.7146425400180002,0.34037723236539746,0.7202171802961027,0.2382929720369092,0.43108610976799716,0.3531972881113643,0.6084798907188219,0.7284495966730328,0.2560362751015146,0.26652220997124454,0.003309740688662084
