i,rank,avg,gap,head_mean,head_min,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold
10,1,2.7504621212121183,0.02308333333333623,0.2968359374999999,-1.17625,0.7625846372032292,1.7130763691295248,1.2065159537854815,0.20045665472192994,0.20240482929365075,0.40683175565448687,0.6752094794038217,0.7252126085373021,0.7180080336441217,0.24415358829843975,0.26469903922388077,2,8,2.931318106929319,0.4826472486545718,0.6999516822801891,0.21199259121695185,0.7508772924111995,0.18646712674717628,0.43584376788419055,0.3778927881475659,0.6732781024095926,0.7408858462616333,0.3658684058481555,0.27013846829225663,0.12793447139740216
27,1,2.7492499999999933,0.021568181818180765,0.27902343749999997,-1.18625,0.7608179026677613,1.7172304767440696,1.1524283058638793,0.15654167506786673,0.21544963954571134,0.46959435258642135,0.6436900408763183,0.6937215545769068,0.7077541426401589,0.25326512236896304,0.2639846247902777,1,5,2.836977350471357,0.38707316492150395,0.7043402948229383,0.1952829351030322,0.7232060661257393,0.19029317254406827,0.49781082550576616,0.3268281402273521,0.6940435874563422,0.7407191648185285,0.3942287899236487,0.2888782644390356,0.0812629270980661
13,1,2.749242424242418,0.021863636363635752,0.29277343749999996,-1.1775,0.7531897421300578,1.764076136970127,1.177138522197182,0.1946445408610903,0.22154070434065912,0.41307492368027776,0.6590821310091727,0.7426993195133846,0.6932256308719769,0.24092347411449974,0.24284834327575233,2,5,2.8000334185964038,0.40453061541712876,0.6532792065421048,0.225182400412668,0.7395911670566433,0.2067989457803363,0.46614599109287236,0.3482973118978784,0.6889682030064875,0.7585398941310891,0.34257014122234786,0.26224460763364776,0.0006287108831277144
4,1,2.7491287878787825,0.02144696969696991,0.278515625,-1.18625,0.7428776787403233,1.7237377936583114,1.2035824388713825,0.172026518733077,0.23041436437144414,0.42218301620678916,0.6512202623867285,0.7033369733068788,0.7488757769327602,0.27368509454653883,0.21754164397834794,1,8,2.905230119778618,0.4751555683152559,0.7026003967872112,0.22675518229852246,0.7743663645746094,0.16761946426859559,0.45010718842857134,0.36458973851059684,0.6434502759949555,0.7032551183984745,0.3474836135111619,0.28243078132928295,0.09537308584721689
33,1,2.7491287878787825,0.02144696969696991,0.27781249999999996,-1.18625,0.8119600039298753,1.7346678170228602,1.1586183031952544,0.20203065041039292,0.22509921343035003,0.4147921930222609,0.6710560396034203,0.7218951622790468,0.7038686849260906,0.30196710559971834,0.23933242851803327,1,7,2.9393782035117506,0.4735497313216909,0.6552723486027289,0.20978037699169333,0.7672179360774404,0.1633176231868565,0.4294984057306499,0.32869393720742934,0.6960259923612013,0.7527172590234453,0.37076032866799835,0.30143764680931207,0.09813667628628596
2,1,2.7487196969696917,0.021037878787879105,0.276796875,-1.18625,0.7844473195140487,1.6983449207763113,1.1531079376752835,0.20444671565139882,0.2108043447563383,0.4359475090033746,0.6247117785074499,0.6950540659516043,0.7329223065373505,0.3067989313028651,0.2606682800409137,1,7,2.8735436811298882,0.4506575963435965,0.6840912682849075,0.2558967364651104,0.7938899812153786,0.14983304905387304,0.4485266717057186,0.3318625606319917,0.678123715307453,0.7040819660132811,0.3669274183602285,0.3349114205897679,-0.017480054519080426
34,1,2.7486515151515096,0.021272727272727554,0.2903124999999999,-1.1775,0.7783290901876952,1.7113317222368265,1.179452234137145,0.19497063179468194,0.21946965332340473,0.44402711373414006,0.6608413802056903,0.734069141667016,0.6908176143554123,0.2560196669612308,0.26067691012887284,2,8,2.9417946594618507,0.4160445408477553,0.6766801749355478,0.2570510719969433,0.7546116539271446,0.15917329403816327,0.45891862120840876,0.3353005988377869,0.6906951218192038,0.7345100408896418,0.3728145568967507,0.2653697333434011,0.08810366245985904
3,1,2.7485606060606,0.021181818181817746,0.2898828125,-1.1775,0.7769021928660642,1.7476066455352723,1.2087421144057082,0.19325790223065997,0.2143068768921102,0.4007874158540981,0.6674210258104075,0.6833786724256904,0.7248899053180445,0.24941191009939315,0.2538182250178775,2,6,2.8621402616999463,0.3338192402360692,0.7166338600985146,0.2365512584113859,0.7238273051840406,0.16976244656340156,0.4543066679367621,0.38646947233178836,0.6851011756900228,0.746437405317022,0.39485026921103794,0.3092989121164787,0.011347050408088234
31,1,2.7485378787878743,0.021159090909092182,0.2903125,-1.1775,0.7531603446058568,1.7594754274395734,1.2103515399568276,0.1870759342592308,0.253856728722675,0.4205534984174076,0.6504223066485308,0.6774943648545763,0.7050252637876592,0.2727988102725816,0.2671773888150065,2,5,2.9258344591951895,0.3384234696989901,0.6972903379408555,0.22195848726347409,0.7907956001445068,0.15839754286724678,0.49401238600291825,0.3862597614758006,0.6829978249640147,0.7196945638223716,0.35832514974677526,0.3255410157042511,0.12567519428945573
20,1,2.748446969696962,0.02076515151514924,0.27578125,-1.18625,0.8068428892596451,1.7296221896574746,1.2068220454580212,0.1469746152942757,0.19594020471187454,0.41211865151752547,0.6138516469991498,0.6861053567164633,0.7117541916197127,0.2700705403132927,0.2296101319419735,1,8,2.863250463858878,0.3451176355682478,0.7142708880301051,0.2119310071667307,0.7819665215198626,0.20415391860072368,0.4668464207670864,0.3672602363261008,0.6778338517648917,0.7718728495769277,0.36744381502183127,0.30458856797130873,-0.00594171888826036
