seed,repetition,opponent,eleanor_avg,opponent_avg,margin
0,14,mem2,3.01,2.985,0.02499999999999991
0,14,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,14,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,14,Nydegger,3.01,2.985,0.02499999999999991
0,14,Grofman,3.01,2.985,0.02499999999999991
0,14,Shubik,3.01,2.985,0.02499999999999991
0,14,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,14,GRIM,3.01,2.985,0.02499999999999991
0,14,Davis: 10,3.01,2.985,0.02499999999999991
0,14,Graaskamp: 0.05,3.475,2.05,1.4250000000000003
0,14,Downing,1.125,1.05,0.07499999999999996
0,14,"Feld: 1.0, 0.5, 200",1.845,2.17,-0.32499999999999996
0,14,Joss: 0.9,2.225,2.5,-0.2749999999999999
0,14,Tullock,1.335,1.41,-0.07499999999999996
0,14,Anonymous,2.76,1.46,1.2999999999999998
0,14,Random: 0.5,2.785,0.635,2.1500000000000004
0,15,Cu,3.01,2.985,0.02499999999999991
0,15,Du,0.975,1.1,-0.1250000000000001
0,15,Tit For Tat,3.01,2.985,0.02499999999999991
0,15,spiteful,3.01,2.985,0.02499999999999991
0,15,soft_majo,3.01,2.985,0.02499999999999991
0,15,hard_majo,2.99,2.99,0.0
0,15,per_cd,2.685,1.31,1.375
0,15,per_ccd,3.29,1.19,2.1
0,15,per_ddc,2.29,0.765,1.525
0,15,mistrust,2.99,2.99,0.0
0,15,WSLS,3.01,2.985,0.02499999999999991
0,15,TFTT,3.01,2.985,0.02499999999999991
0,15,hard_tft,3.01,2.985,0.02499999999999991
0,15,slow_tft,3.01,2.985,0.02499999999999991
0,15,GrdTFT,3.01,2.985,0.02499999999999991
0,15,prober,3.005,2.98,0.02499999999999991
0,15,mem2,3.01,2.985,0.02499999999999991
0,15,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,15,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,15,Nydegger,3.01,2.985,0.02499999999999991
0,15,Grofman,3.01,2.985,0.02499999999999991
0,15,Shubik,3.01,2.985,0.02499999999999991
0,15,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,15,GRIM,3.01,2.985,0.02499999999999991
0,15,Davis: 10,3.01,2.985,0.02499999999999991
0,15,Graaskamp: 0.05,3.435,2.135,1.3000000000000003
0,15,Downing,1.125,1.05,0.07499999999999996
0,15,"Feld: 1.0, 0.5, 200",1.705,1.98,-0.2749999999999999
0,15,Joss: 0.9,2.22,2.495,-0.2749999999999999
0,15,Tullock,1.31,1.36,-0.050000000000000044
0,15,Anonymous,2.86,0.66,2.1999999999999997
0,15,Random: 0.5,2.66,1.31,1.35
0,16,Cu,3.01,2.985,0.02499999999999991
