iteration,objective,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold,rank,average_score_per_turn,gap_to_best_other,head_mean_margin,head_min_margin,head_negative_count
74,2.7048867424242413,0.7058702769223536,1.7601738165096128,1.1323851155602633,0.17384430849483876,0.23419703951061555,0.5080639630172015,0.6839005969224539,0.7211021935190438,0.7372042810064507,0.3415775651555552,0.23013327754623802,2,8,2.7622782775955557,0.47419014206282034,0.648447465870355,0.2967854621684341,0.7536257582553056,0.18458515684041923,0.4521279021934239,0.34760985107484915,0.6344442606328639,0.7893191246386442,0.30934809211380565,0.2522352500749609,0.0195856471160568,1,2.755424242424241,0.026121212121210213,0.29218749999999993,-1.0699999999999998,5
36,2.6163541666666656,0.697316740022197,1.0359350524780002,1.708494027922176,0.6658713546301989,0.48800873879236817,0.7175461202643161,0.5103574012776538,1.091671664845125,0.47910071876044835,0.21161045356994818,0.2919874473775932,2,7,3.021681724267408,0.7264090863010526,0.8321173517559299,0.4329054746810981,0.5426429102891188,0.17956974025183114,0.572693919005503,0.3012169280143253,0.41567920319622265,0.41723678740460757,0.8521572494938887,0.1525430716399032,0.26102587906174535,3,2.724666666666666,-0.008727272727274471,0.16406249999999997,-1.6,6
43,2.5992130681818164,0.7455646258911681,1.2170602538730955,1.139894987369723,0.39001508883005986,0.24894352152811147,0.9345348030218784,0.7223243374438088,1.0980586119506444,0.7425007158141143,0.226039279919088,0.27666987745100746,2,5,2.584774720403408,0.7516529628988358,0.6020005943582987,0.5238234330871935,0.807883276454758,0.11864671593719055,0.6548152528259946,0.36186868042933434,0.12696523208928978,0.40845419143796946,0.6383751871266381,0.27137548225627484,0.04153330676945441,3,2.7081818181818167,-0.020696969696970324,0.15859374999999995,-1.6,6
47,2.598678598484847,0.438329891084063,1.4671245511711422,1.770449428161556,0.6785353133565203,0.22193350306246518,0.8778555637105757,0.6002075557936599,0.6937393068003624,0.6818596426815929,0.09436977865882593,0.42868176862612795,1,9,2.012844493476679,0.7100279798087856,0.22960440940591326,0.5068637542451442,0.6432292361403222,0.3034729024877697,0.5031467861199462,0.18785341814282558,0.3638737356798529,0.5069535869248154,0.7298244772913558,0.2831578391788411,0.3287717908117228,6,2.639484848484847,-0.09030303030303255,0.33328125000000003,-1.01,7
71,2.597205303030303,0.6348863321275321,1.5158119104897152,1.801995131570071,0.5057459038519897,0.31708830673967825,0.49786314042433094,0.7397208193821017,0.41120761010573353,0.5309344707151621,0.17563345256675467,0.3492822196054071,2,4,1.8441243894112354,0.4738144100721086,0.3675120954183316,0.27850463345347554,0.7786201952018788,0.40313470316466293,0.5470098223752539,0.20254971378320374,0.24650941930938985,0.3183451559599296,0.357572513012845,0.3083571465774087,0.36165112874186156,5,2.648030303030303,-0.08272727272727431,0.333125,-1.1350000000000002,5
79,2.5939380681818163,0.6493655497512284,1.5817306609783048,1.1943080003549367,0.6081148582655491,0.22176492491851688,0.9477147869243734,0.5830384127537817,0.4706313535065836,0.5948899137354717,0.08179638907445805,0.7141493657818732,1,4,1.8746343023201413,0.3246238515942301,0.7752894767202234,0.16565968316685792,0.7202818141316235,0.21213287150642912,0.1644446370248043,0.27855158489419135,0.5820977946963728,0.2904205529066244,0.5251122843571928,0.10026501487623177,0.33121866410213885,6,2.640181818181816,-0.08812121212121449,0.31796874999999997,-1.0550000000000002,7
0,2.593716856060603,0.7224192047401488,1.5849113560871109,1.4204661572030814,0.431320436371293,0.43612079775557894,1.0977718559685292,0.5657459783098283,0.5186078345477557,0.4805392872827791,0.1281311580803987,0.3800518582195359,1,4,2.8599502264577867,0.697201443546005,-0.2725672551759481,0.39704141378888763,1.021444567635745,0.4681601500587226,0.21264037078874873,0.20946244214472648,0.6196567836409982,0.2552762139759559,0.27386860296747234,0.05504077844178321,0.2764132344960918,4,2.6460606060606033,-0.08539393939394335,0.32046874999999997,-1.1350000000000002,7
10,2.5920759469696977,0.3688796559555768,0.9711747964584925,1.6548375098021282,0.3624687412632283,0.2107740143398132,0.7765971410536596,0.7746615113962374,0.42009081240231505,0.7098227828287337,0.19562003141812906,0.5677907323786784,0,5,1.9502561878643845,0.18325574375719905,0.5592228371021846,0.17766078051681214,1.058600155054656,0.2005109581426215,0.24033352438928976,0.2206657822089219,0.643078658754711,0.5117178783216485,0.6026247639533127,0.34606769516360797,0.24270822058765248,6,2.6319696969696977,-0.09878787878787731,0.31421875000000005,-0.9700000000000001,7
44,2.589156628787879,0.7773727390422527,1.2492647250235607,1.6966789560982334,0.22287581550149227,0.326038723972882,1.0842976551191612,0.7423328778921405,0.7810910429272118,0.6659593208214056,0.1246981932873317,0.6507623488792473,2,8,2.5606067914140143,-0.11304955595711202,0.844967393238697,0.15118944515949664,0.9999369077531266,0.3327590221615856,0.6269606149821778,0.24399488913208217,0.3553540130231777,0.7341975340473201,0.47687767105731577,0.27761351768464976,0.19674822595264188,6,2.643787878787879,-0.08272727272727298,0.32140624999999995,-1.1649999999999998,5
65,2.588749053030303,0.5627620678751072,0.9771206349532757,1.4237200783342536,0.6963811821642635,0.3035619969474254,0.8225159417182077,0.49817014325620174,0.8424564816221605,0.8325141675415955,0.19363682697005036,0.6868930897708572,2,7,3.19779702323697,-0.08721982181924742,0.1490145190237086,0.2880977982722754,1.029361075558573,0.3752183694521284,0.19449048170801916,0.34018692426888325,0.10162942555454416,0.855413203714877,0.3282730360786971,0.304188752688843,-0.009859676958943284,4,2.6490303030303024,-0.07796969696969835,0.3176562499999999,-1.23,5
