seed,repetition,opponent,eleanor_avg
0,2,Tullock,1.51
0,2,Anonymous,2.665
0,2,Random: 0.5,2.7
0,3,Cu,3.01
0,3,Du,0.975
0,3,Tit For Tat,3.01
0,3,spiteful,3.01
0,3,soft_majo,3.01
0,3,hard_majo,2.99
0,3,per_cd,2.685
0,3,per_ccd,3.29
0,3,per_ddc,2.29
0,3,mistrust,2.99
0,3,WSLS,3.01
0,3,TFTT,3.01
0,3,hard_tft,3.01
0,3,slow_tft,3.01
0,3,GrdTFT,3.01
0,3,prober,3.005
0,3,mem2,3.01
0,3,grok:grok-3-mini,3.01
0,3,Tideman & Chieruzzi,2.975
0,3,Nydegger,3.01
0,3,Grofman,3.01
0,3,Shubik,3.01
0,3,Stein & Rapoport: 0.05,2.975
0,3,GRIM,3.01
0,3,Davis: 10,3.01
0,3,Graaskamp: 0.05,3.46
0,3,Downing,1.125
0,3,"Feld: 1.0, 0.5, 200",1.785
0,3,Joss: 0.9,2.43
0,3,Tullock,1.44
0,3,Anonymous,3.05
0,3,Random: 0.5,2.885
0,4,Cu,3.01
0,4,Du,0.975
0,4,Tit For Tat,3.01
0,4,spiteful,3.01
0,4,soft_majo,3.01
0,4,hard_majo,2.99
0,4,per_cd,2.685
0,4,per_ccd,3.29
0,4,per_ddc,2.29
0,4,mistrust,2.99
0,4,WSLS,3.01
0,4,TFTT,3.01
0,4,hard_tft,3.01
0,4,slow_tft,3.01
0,4,GrdTFT,3.01
0,4,prober,3.005
0,4,mem2,3.01
0,4,grok:grok-3-mini,3.01
0,4,Tideman & Chieruzzi,2.975
0,4,Nydegger,3.01
0,4,Grofman,3.01
0,4,Shubik,3.01
0,4,Stein & Rapoport: 0.05,2.975
0,4,GRIM,3.01
0,4,Davis: 10,3.01
0,4,Graaskamp: 0.05,3.495
0,4,Downing,1.125
0,4,"Feld: 1.0, 0.5, 200",1.695
0,4,Joss: 0.9,2.275
0,4,Tullock,1.385
0,4,Anonymous,2.96
